client_id,date_naissance,date_inscription,segment_client,region,departement
145,1953-12-22,1972-07-04,Premium,Nouvelle-Aquitaine,17
146,1964-03-29,1984-03-15,Standard,Grand Est,10
147,1974-11-18,2015-04-06,Premium,Grand Est,10
148,1969-09-17,2011-04-17,Pro,Centre-Val de Loire,36
149,1951-12-25,1985-07-09,Standard,Pays de la Loire,85
150,1995-02-08,2015-10-25,Premium,Bretagne,29
151,1951-03-22,1996-02-03,Pro,Bretagne,35
152,1945-08-12,1966-05-24,Pro,Normandie,14
153,1955-06-13,2019-02-16,Premium,Île-de-France,91
154,1946-06-05,2002-08-03,Standard,Île-de-France,75
155,1988-08-25,2015-07-28,Standard,Grand Est,57
156,1980-03-30,2007-10-04,Standard,Provence-Alpes-Côte d'Azur,13
157,1954-02-17,2014-09-27,Premium,Auvergne-Rhône-Alpes,74
158,1990-01-24,2013-09-28,Standard,Centre-Val de Loire,18
159,1962-08-16,2009-05-19,Premium,Hauts-de-France,80
160,1956-02-01,1989-06-19,Pro,Hauts-de-France,80
161,1979-09-29,2007-08-06,Pro,Nouvelle-Aquitaine,64
162,1956-01-15,1975-05-20,Standard,Nouvelle-Aquitaine,40
163,1973-07-31,2020-07-01,Standard,Île-de-France,77
164,1973-04-17,2002-08-01,Standard,Normandie,50
165,1970-01-04,2022-08-03,Pro,Auvergne-Rhône-Alpes,26
166,1972-09-13,2007-07-27,Premium,Provence-Alpes-Côte d'Azur,13
167,1964-03-19,1989-06-24,Standard,Centre-Val de Loire,45
168,1981-09-23,2012-06-04,Standard,Hauts-de-France,59
169,1979-03-13,2024-02-20,Standard,Grand Est,51
170,1998-05-06,2017-01-04,Standard,Pays de la Loire,85
171,1958-11-30,2015-03-06,Standard,Nouvelle-Aquitaine,33
172,1986-01-19,2022-02-06,Premium,Normandie,14
173,1961-03-05,2004-01-17,Standard,Provence-Alpes-Côte d'Azur,83
174,1957-04-29,1988-03-07,Pro,Île-de-France,92
175,1994-10-22,2017-12-10,Standard,Centre-Val de Loire,45
176,2007-05-12,2026-04-15,Pro,Occitanie,31
177,1948-03-09,1967-05-06,Standard,Île-de-France,94
178,1963-05-22,2004-11-04,Standard,Corse,2B
179,1962-02-02,1988-10-11,Standard,Bretagne,56
180,1992-06-29,2011-09-25,Premium,Auvergne-Rhône-Alpes,42
181,1991-04-26,2018-10-20,Pro,Bourgogne-Franche-Comté,70
182,1978-07-06,2012-05-02,Pro,Grand Est,67
183,1966-06-28,2008-03-29,Pro,Île-de-France,93
184,2005-01-25,2023-06-15,Standard,Bretagne,35
185,1947-03-18,1998-05-31,Standard,Hauts-de-France,60
186,2004-02-26,2025-04-26,Premium,Occitanie,12
187,1979-08-19,2009-05-26,Standard,Bretagne,35
188,2005-10-26,2023-11-07,Premium,Auvergne-Rhône-Alpes,07
189,2006-11-27,2025-12-18,Pro,Provence-Alpes-Côte d'Azur,13
190,1949-06-10,2005-04-05,Pro,Occitanie,66
191,1956-12-13,1978-10-10,Pro,Hauts-de-France,62
192,1980-05-03,1999-07-18,Standard,Nouvelle-Aquitaine,86
193,2004-12-12,2024-02-01,Pro,Île-de-France,95
194,2004-07-22,2023-03-15,Standard,Auvergne-Rhône-Alpes,42
195,2003-01-14,2024-09-15,Standard,Hauts-de-France,59
196,1957-01-22,2024-10-18,Premium,Auvergne-Rhône-Alpes,01
197,1956-05-10,1991-02-23,Premium,Île-de-France,75
198,1950-05-13,2022-09-25,Pro,Nouvelle-Aquitaine,19
199,1986-08-01,2024-01-02,Standard,Normandie,50
200,1986-10-24,2008-04-19,Premium,Île-de-France,77
201,1977-11-22,2010-02-24,Premium,Île-de-France,77
202,1953-06-30,1975-08-02,Pro,Île-de-France,75
203,1946-12-24,2017-10-02,Pro,Auvergne-Rhône-Alpes,38
204,1972-08-27,1998-05-07,Standard,Grand Est,08
205,1948-07-08,1977-12-03,Standard,Nouvelle-Aquitaine,17
206,1987-03-15,2006-12-14,Pro,Bourgogne-Franche-Comté,21
207,1959-07-29,1998-10-03,Premium,Pays de la Loire,72
208,1976-01-05,2021-03-06,Pro,Auvergne-Rhône-Alpes,38
209,1965-03-29,2005-04-24,Pro,Nouvelle-Aquitaine,33
210,1946-12-15,2021-11-22,Pro,Grand Est,08
211,1955-10-16,1996-03-05,Pro,Grand Est,68
212,1991-06-16,2016-08-01,Pro,Hauts-de-France,59
213,1952-01-21,1987-11-09,Pro,Hauts-de-France,59
214,2001-02-12,2023-12-04,Pro,Provence-Alpes-Côte d'Azur,04
215,1965-02-05,1985-11-25,Premium,Auvergne-Rhône-Alpes,38
216,1979-08-29,2012-09-26,Standard,Normandie,61
217,1992-10-12,2012-07-12,Premium,Bretagne,35
218,1956-12-07,1978-10-10,Standard,Hauts-de-France,60
219,2005-05-01,2025-03-13,Pro,Occitanie,12
220,1948-02-25,2012-03-22,Standard,Provence-Alpes-Côte d'Azur,13
221,1954-10-23,1984-11-13,Standard,Provence-Alpes-Côte d'Azur,84
222,1958-08-29,2025-11-24,Premium,Auvergne-Rhône-Alpes,03
223,1968-06-27,2024-09-02,Premium,Auvergne-Rhône-Alpes,07
224,1949-04-02,2017-12-04,Standard,Auvergne-Rhône-Alpes,15
225,1978-11-01,2002-06-14,Pro,Île-de-France,92
226,1968-01-29,1992-12-21,Pro,Centre-Val de Loire,18
227,1978-05-31,2012-11-04,Standard,Centre-Val de Loire,45
228,2002-11-25,2023-03-09,Standard,Auvergne-Rhône-Alpes,15
229,1962-05-08,1992-02-15,Standard,Bourgogne-Franche-Comté,70
230,1955-03-31,2002-09-15,Premium,Auvergne-Rhône-Alpes,69
231,1950-08-07,2010-02-23,Pro,Provence-Alpes-Côte d'Azur,13
232,1983-08-03,2024-09-27,Standard,Auvergne-Rhône-Alpes,03
233,1959-03-26,2019-04-15,Premium,Auvergne-Rhône-Alpes,63
234,1954-04-06,2013-08-24,Premium,Occitanie,32
235,1983-01-03,2001-09-25,Premium,Provence-Alpes-Côte d'Azur,06
236,1958-05-30,2022-05-26,Standard,Centre-Val de Loire,36
237,1952-06-01,1979-04-11,Standard,Auvergne-Rhône-Alpes,69
238,1981-10-20,2024-09-19,Pro,Nouvelle-Aquitaine,33
239,1959-09-21,2007-02-20,Standard,Provence-Alpes-Côte d'Azur,84
240,1956-11-25,1998-06-21,Standard,Centre-Val de Loire,28
241,1975-08-14,1998-10-26,Premium,Bourgogne-Franche-Comté,21
242,1972-11-30,2025-10-03,Standard,Grand Est,57
243,1967-02-24,1991-01-04,Pro,Île-de-France,94
244,1977-02-20,2024-06-13,Standard,Île-de-France,75
245,1951-02-10,1977-01-15,Pro,Nouvelle-Aquitaine,33
246,1979-11-16,2017-01-04,Standard,Normandie,27
247,1993-10-13,2019-02-03,Pro,Occitanie,31
248,1949-12-24,2005-11-17,Pro,Auvergne-Rhône-Alpes,69
249,2003-07-30,2022-05-11,Pro,Auvergne-Rhône-Alpes,74
250,1963-12-27,1984-01-24,Standard,Hauts-de-France,62
251,1982-04-23,2004-07-06,Standard,Île-de-France,95
252,1970-11-05,1993-11-14,Standard,Provence-Alpes-Côte d'Azur,06
253,1953-11-01,2025-03-10,Standard,Nouvelle-Aquitaine,33
254,1968-11-02,2023-03-10,Pro,Bretagne,22
255,1978-11-04,2007-12-29,Premium,Auvergne-Rhône-Alpes,69
256,1980-05-06,2003-04-17,Standard,Hauts-de-France,62
257,1971-05-12,1993-05-02,Premium,Provence-Alpes-Côte d'Azur,83
258,1982-10-13,2001-11-05,Pro,Pays de la Loire,44
259,1986-08-23,2014-06-06,Pro,Bretagne,22
260,1973-06-26,2011-08-19,Standard,Grand Est,67
261,2006-09-17,2025-12-24,Pro,Grand Est,57
262,1974-07-22,2010-12-21,Standard,Provence-Alpes-Côte d'Azur,06
263,1975-05-18,2023-04-29,Pro,Nouvelle-Aquitaine,33
264,2005-07-04,2024-03-09,Standard,Bourgogne-Franche-Comté,21
265,1997-07-15,2015-09-15,Premium,Hauts-de-France,60
266,1995-06-08,2026-03-05,Standard,Normandie,76
267,1964-12-15,2016-02-02,Standard,Grand Est,68
268,1986-11-21,2006-01-26,Standard,Île-de-France,92
269,1953-01-28,2009-04-03,Standard,Occitanie,34
270,1954-01-09,2015-05-30,Premium,Bourgogne-Franche-Comté,39
271,1988-12-06,2017-04-22,Premium,Centre-Val de Loire,45
272,1955-07-09,1984-03-31,Pro,Bourgogne-Franche-Comté,89
273,1970-06-08,1998-11-26,Premium,Nouvelle-Aquitaine,33
274,1958-02-22,1995-05-28,Premium,Provence-Alpes-Côte d'Azur,83
275,2007-03-16,2025-12-31,Pro,Provence-Alpes-Côte d'Azur,13
276,1988-11-10,2021-03-18,Pro,Bourgogne-Franche-Comté,25
277,1993-05-11,2017-07-15,Pro,Grand Est,57
278,2000-10-21,2021-01-22,Premium,Occitanie,30
279,1958-02-10,1985-04-16,Standard,Hauts-de-France,59
280,1987-01-13,2009-02-14,Standard,Provence-Alpes-Côte d'Azur,13
281,2007-05-03,2025-12-17,Premium,Île-de-France,93
282,1960-12-18,2017-08-21,Pro,Centre-Val de Loire,28
283,1988-12-12,2024-05-09,Pro,Île-de-France,95
284,1959-07-08,2006-03-30,Standard,Nouvelle-Aquitaine,17
285,1968-04-17,1994-10-27,Pro,Auvergne-Rhône-Alpes,74
286,1953-07-17,2002-02-08,Pro,Auvergne-Rhône-Alpes,01
287,1972-12-30,2000-07-08,Standard,Hauts-de-France,02
288,1997-10-06,2025-11-29,Pro,Occitanie,32
289,2001-02-03,2025-11-14,Premium,Occitanie,34
290,1987-05-09,2021-08-23,Standard,Île-de-France,94
291,1987-09-16,2010-10-25,Standard,Provence-Alpes-Côte d'Azur,06
292,2004-11-22,2023-09-01,Premium,Occitanie,11
293,2001-08-05,2022-10-23,Premium,Grand Est,67
294,1967-04-05,2003-08-06,Standard,Auvergne-Rhône-Alpes,26
295,1999-05-21,2021-01-12,Standard,Île-de-France,75
296,1955-06-10,1994-08-08,Pro,Île-de-France,92
297,1982-09-22,2017-11-23,Standard,Île-de-France,77
298,1957-12-06,2009-09-25,Pro,Pays de la Loire,85
299,2002-07-02,2024-06-21,Pro,Grand Est,51
300,1966-04-24,2012-07-26,Premium,Normandie,14
301,1949-07-09,1987-06-29,Premium,Auvergne-Rhône-Alpes,01
302,2002-12-20,2024-05-27,Standard,Nouvelle-Aquitaine,33
303,1952-04-16,2024-09-02,Pro,Pays de la Loire,44
304,1959-01-05,1999-05-29,Pro,Provence-Alpes-Côte d'Azur,13
305,1991-06-23,2023-09-25,Standard,Nouvelle-Aquitaine,33
306,1965-08-20,1997-05-30,Standard,Occitanie,31
307,1965-12-19,1986-08-27,Standard,Bretagne,22
308,1965-09-26,1985-08-27,Standard,Hauts-de-France,62
309,1969-01-16,2015-10-10,Pro,Occitanie,09
310,1952-04-21,2014-11-06,Pro,Hauts-de-France,60
311,1979-09-30,2011-02-03,Standard,Île-de-France,94
312,1973-04-17,2009-04-17,Pro,Hauts-de-France,59
313,1952-07-07,2009-09-08,Premium,Île-de-France,95
314,1994-09-06,2016-02-02,Standard,Nouvelle-Aquitaine,33
315,1978-07-08,1999-04-04,Pro,Nouvelle-Aquitaine,86
316,1998-04-25,2023-12-20,Standard,Île-de-France,75
317,1976-02-20,2014-05-23,Standard,Normandie,61
318,1976-07-11,2025-07-28,Standard,Nouvelle-Aquitaine,19
319,1957-06-09,2010-09-15,Pro,Occitanie,31
320,2003-04-25,2024-04-23,Standard,Île-de-France,75
321,1989-03-15,2026-03-19,Pro,Île-de-France,92
322,1969-07-05,2014-01-25,Pro,Provence-Alpes-Côte d'Azur,13
323,1954-05-29,2018-05-13,Standard,Grand Est,54
324,2008-03-06,2026-03-31,Standard,Occitanie,34
325,1992-08-19,2015-06-24,Premium,Grand Est,52
326,1955-01-27,2009-10-07,Premium,Auvergne-Rhône-Alpes,63
327,2001-10-09,2025-12-08,Pro,Hauts-de-France,60
328,1963-04-09,2016-08-29,Premium,Bretagne,22
329,1946-07-17,1987-04-25,Standard,Grand Est,57
330,1963-01-15,2015-01-04,Standard,Occitanie,31
331,1995-02-05,2025-12-23,Pro,Bretagne,35
332,1972-08-21,2013-10-12,Premium,Nouvelle-Aquitaine,33
333,1962-09-09,1994-08-31,Standard,Bourgogne-Franche-Comté,21
334,1948-02-21,1968-06-22,Pro,Occitanie,30
335,2002-05-29,2024-05-10,Standard,Normandie,76
336,1993-10-20,2017-01-05,Standard,Nouvelle-Aquitaine,64
337,1969-08-29,2015-06-05,Pro,Auvergne-Rhône-Alpes,42
338,1956-05-23,2000-09-15,Premium,Centre-Val de Loire,45
339,1997-02-19,2024-03-02,Premium,Grand Est,68
340,2005-08-21,2025-09-08,Premium,Hauts-de-France,62
341,1977-07-02,2010-04-07,Standard,Grand Est,54
342,1959-11-08,1996-10-30,Pro,Centre-Val de Loire,45
343,1970-08-08,2008-03-16,Pro,Pays de la Loire,85
344,1950-06-14,1987-09-30,Standard,Pays de la Loire,44
345,1955-08-14,1998-10-29,Premium,Auvergne-Rhône-Alpes,03
346,1974-11-05,2011-10-08,Standard,Grand Est,54
347,1954-04-05,2020-04-21,Pro,Île-de-France,78
348,2000-11-09,2019-05-23,Standard,Bretagne,29
349,1955-06-30,1996-05-03,Pro,Normandie,61
350,1973-05-13,2022-05-27,Premium,Île-de-France,94
351,1985-09-14,2021-03-15,Standard,Normandie,50
352,1986-04-27,2006-11-10,Pro,Bretagne,56
353,2005-09-07,2023-11-17,Pro,Bretagne,29
354,1975-01-09,2025-01-20,Standard,Nouvelle-Aquitaine,86
355,1964-10-31,1989-05-16,Pro,Bretagne,29
356,1975-07-20,1997-09-28,Premium,Grand Est,54
357,1975-06-06,2026-03-03,Pro,Provence-Alpes-Côte d'Azur,13
358,1960-05-23,2010-11-29,Premium,Auvergne-Rhône-Alpes,01
359,1974-09-16,2015-04-16,Pro,Centre-Val de Loire,37
360,2002-07-13,2022-09-03,Standard,Grand Est,52
361,1994-02-19,2017-12-24,Pro,Bretagne,22
362,1964-06-16,1997-07-11,Pro,Normandie,76
363,1954-09-16,1978-12-16,Standard,Nouvelle-Aquitaine,19
364,1962-12-18,2024-07-15,Standard,Auvergne-Rhône-Alpes,74
365,1997-05-20,2021-07-18,Pro,Nouvelle-Aquitaine,33
366,1991-05-17,2019-08-16,Premium,Île-de-France,77
367,1988-08-24,2025-07-13,Premium,Bretagne,29
368,1971-04-09,1998-04-06,Standard,Centre-Val de Loire,45
369,2005-01-20,2026-01-22,Pro,Corse,2A
370,1967-05-15,2025-09-15,Premium,Bretagne,35
371,1998-07-25,2025-01-13,Pro,Pays de la Loire,44
372,1981-02-18,2007-10-03,Standard,Hauts-de-France,60
373,1995-05-27,2023-07-07,Pro,Île-de-France,94
374,1972-02-10,2003-02-03,Standard,Île-de-France,94
375,1947-09-02,1972-09-06,Standard,Pays de la Loire,72
376,2005-08-17,2024-09-25,Pro,Hauts-de-France,02
377,1991-12-03,2022-06-09,Standard,Provence-Alpes-Côte d'Azur,06
378,1992-09-07,2014-07-15,Pro,Hauts-de-France,02
379,1961-09-18,2025-07-06,Standard,Grand Est,10
380,1946-10-13,2002-07-15,Standard,Hauts-de-France,59
381,1988-09-03,2015-09-07,Standard,Pays de la Loire,44
382,1977-03-30,2012-09-27,Standard,Hauts-de-France,59
383,1987-06-08,2016-08-27,Standard,Bretagne,35
384,1987-04-04,2019-12-30,Standard,Normandie,76
385,1972-01-26,1994-06-17,Standard,Grand Est,67
386,1989-08-12,2018-10-21,Standard,Bretagne,22
387,1972-02-06,1990-07-02,Standard,Normandie,14
388,1970-03-24,1993-09-25,Standard,Île-de-France,78
389,1997-11-14,2018-02-07,Standard,Île-de-France,94
390,1955-04-10,1990-12-25,Pro,Hauts-de-France,02
391,2008-01-13,2026-01-19,Standard,Nouvelle-Aquitaine,87
392,1956-01-08,2008-07-21,Pro,Auvergne-Rhône-Alpes,69
393,2006-07-12,2026-02-15,Standard,Bretagne,22
394,1980-05-06,1999-09-21,Pro,Hauts-de-France,80
395,1995-12-08,2024-10-14,Premium,Nouvelle-Aquitaine,87
396,1978-12-13,2006-07-08,Premium,Bourgogne-Franche-Comté,71
397,1978-09-22,2002-07-17,Premium,Auvergne-Rhône-Alpes,69
398,1949-12-07,1996-02-13,Standard,Nouvelle-Aquitaine,33
399,1993-08-13,2012-10-26,Standard,Île-de-France,94
400,1951-08-04,2007-01-16,Premium,Centre-Val de Loire,41
401,2003-09-18,2023-08-01,Premium,Bretagne,22
402,2007-01-26,2025-06-10,Standard,Provence-Alpes-Côte d'Azur,13
403,1950-12-29,2017-10-23,Pro,Grand Est,57
404,1959-07-17,2006-04-06,Pro,Corse,2A
405,1979-04-24,2004-01-20,Standard,Île-de-France,94
406,1981-09-30,2015-07-01,Standard,Auvergne-Rhône-Alpes,01
407,1949-12-23,2014-07-20,Standard,Nouvelle-Aquitaine,33
408,1995-05-01,2025-05-01,Standard,Île-de-France,91
409,1991-11-22,2018-05-13,Pro,Occitanie,34
410,1990-10-24,2015-06-22,Pro,Auvergne-Rhône-Alpes,74
411,1969-08-28,2021-06-12,Pro,Normandie,27
412,1960-09-02,2013-02-17,Pro,Île-de-France,92
413,1965-03-08,2000-07-18,Standard,Normandie,50
414,1957-12-23,2008-06-09,Standard,Île-de-France,94
415,1951-07-04,1980-05-09,Standard,Bretagne,56
416,1968-06-19,2000-10-09,Premium,Nouvelle-Aquitaine,17
417,1952-05-03,2020-06-29,Standard,Bourgogne-Franche-Comté,70
418,1950-03-12,2000-09-19,Premium,Occitanie,12
419,1945-04-20,1973-04-23,Pro,Grand Est,57
420,1967-10-04,1991-12-31,Standard,Hauts-de-France,02
421,1988-01-04,2011-03-15,Pro,Auvergne-Rhône-Alpes,69
422,1973-01-27,2022-10-26,Premium,Occitanie,09
423,1999-12-02,2024-08-02,Standard,Occitanie,31
424,1963-07-17,1984-09-26,Standard,Auvergne-Rhône-Alpes,69
425,1974-11-29,2019-07-20,Pro,Bretagne,22
426,2002-06-15,2020-06-21,Standard,Île-de-France,77
427,1974-04-29,1995-01-05,Standard,Île-de-France,91
428,1973-03-29,2005-12-28,Premium,Grand Est,57
429,1986-09-13,2015-02-05,Premium,Provence-Alpes-Côte d'Azur,13
430,1970-05-06,2003-06-27,Premium,Provence-Alpes-Côte d'Azur,05
431,1984-04-06,2022-08-06,Standard,Occitanie,12
432,1986-05-25,2020-11-12,Pro,Grand Est,68
