contact_id,sinistre_id,client_id,date_contact,canal,motif_contact,temps_attente_sec,nb_transferts,duree_traitement_min,resolution_premier_contact,escalade,satisfaction_score,nb_contacts_precedents
26,202501295,1714,2025-12-11,telephone,expertise,740,1,20,oui,non,3,2
27,202501794,2623,2026-02-27,mail,demande_avancement,812,1,6,oui,non,3,3
28,202500574,393,2025-08-15,telephone,piece_manquante,339,2,9,oui,non,3,4
29,202501353,2192,2026-03-30,telephone,demande_avancement,836,0,4,oui,non,3,0
30,202501677,4135,2025-05-29,telephone,contestation_indemnisation,426,0,3,oui,non,3,1
31,202500762,3064,2025-09-04,telephone,demande_avancement,243,2,4,non,oui,2,5
32,202500219,1814,2026-02-08,telephone,relance_dossier,588,0,4,oui,non,4,4
33,202601866,2116,2026-02-27,telephone,piece_manquante,493,2,25,non,oui,1,0
34,202501944,4211,2026-02-08,visite,demande_avancement,652,2,9,oui,oui,1,2
35,202600782,3050,2026-04-09,mail,piece_manquante,50,3,15,oui,non,4,2
36,202300951,1353,2023-08-22,visite,relance_dossier,557,0,8,oui,non,4,5
37,202600054,370,2026-03-29,telephone,piece_manquante,812,1,6,oui,non,3,2
38,202500254,3106,2026-01-26,telephone,contestation_indemnisation,876,1,6,oui,non,2,0
39,202600100,58,2026-02-22,telephone,piece_manquante,133,2,6,non,non,3,3
40,202501726,1811,2026-03-09,mail,demande_avancement,663,2,8,non,non,1,4
41,202500004,1356,2026-01-10,mail,reclamation_delai,243,2,5,non,non,2,1
42,202500649,2866,2025-08-12,telephone,relance_dossier,559,1,6,non,oui,2,4
43,202500653,2194,2026-04-12,telephone,demande_avancement,131,1,4,oui,non,5,4
44,202501604,1447,2026-01-23,telephone,relance_dossier,667,3,15,non,oui,1,0
45,202601852,4760,2026-03-26,mail,demande_avancement,198,0,6,non,non,4,0
46,202600170,4349,2026-04-13,telephone,contestation_indemnisation,543,0,2,non,oui,1,1
47,202601706,4539,2026-04-18,mail,reclamation_delai,666,1,8,non,oui,1,1
48,202601937,491,2026-03-13,telephone,declaration_sinistre,575,2,8,non,oui,1,4
49,202501494,3203,2025-12-02,telephone,demande_avancement,442,0,6,non,non,3,2
50,202500753,3661,2026-01-18,mail,relance_dossier,315,0,6,non,non,3,5
51,202600661,3115,2026-04-20,telephone,declaration_sinistre,322,2,6,non,oui,1,3
52,202601780,829,2026-01-22,mail,declaration_sinistre,859,0,7,oui,non,3,5
53,202501748,2942,2025-11-26,telephone,piece_manquante,28,2,5,oui,oui,3,5
54,202500844,2619,2026-02-01,telephone,declaration_sinistre,890,1,5,oui,non,3,0
55,202500587,4214,2025-11-11,visite,piece_manquante,550,2,5,oui,oui,2,2
56,202601593,3355,2026-03-11,mail,declaration_sinistre,111,3,7,non,non,3,5
57,202600778,193,2026-03-16,telephone,demande_avancement,158,1,8,non,oui,3,1
58,202601657,1206,2026-04-20,visite,relance_dossier,68,3,5,oui,oui,3,1
59,202500290,4387,2026-02-26,visite,relance_dossier,255,1,7,oui,non,5,0
60,202601339,767,2026-04-19,visite,relance_dossier,291,2,8,non,non,3,0
61,202600197,1709,2026-04-21,telephone,declaration_sinistre,852,1,9,oui,non,3,1
62,202500528,2444,2026-01-05,telephone,demande_avancement,256,1,10,non,oui,3,1
63,202601334,820,2026-04-17,telephone,expertise,890,0,15,oui,non,3,5
64,202600267,802,2026-04-02,telephone,demande_avancement,718,3,10,oui,oui,1,4
65,202601109,2961,2026-03-26,telephone,expertise,497,0,5,oui,non,4,0
66,202500628,1171,2026-03-15,visite,reclamation_delai,255,0,9,oui,non,4,2
67,202501878,3651,2026-02-04,mail,declaration_sinistre,348,2,9,oui,non,3,1
68,202601169,3723,2026-03-28,mail,relance_dossier,122,1,9,oui,non,5,4
69,202500982,3966,2026-01-02,telephone,declaration_sinistre,519,0,15,non,oui,2,4
70,202500043,97,2025-09-11,telephone,contestation_indemnisation,805,2,6,oui,non,1,4
71,202600342,2248,2026-03-28,telephone,declaration_sinistre,662,3,8,oui,oui,1,3
72,202501305,153,2025-10-14,telephone,expertise,474,3,4,non,oui,1,2
73,202501947,3042,2026-04-21,visite,reclamation_delai,817,2,6,oui,oui,1,5
74,202600374,1614,2026-04-15,mail,contestation_indemnisation,459,2,7,non,oui,1,5
75,202601749,838,2026-04-11,telephone,relance_dossier,349,3,8,non,oui,1,5
76,202300227,2519,2024-03-01,mail,expertise,102,1,7,oui,non,5,2
77,202500508,2237,2025-07-24,telephone,expertise,420,0,8,oui,oui,3,1
78,202600096,2573,2026-03-14,telephone,relance_dossier,74,0,3,oui,non,5,1
79,202501194,4873,2025-09-27,telephone,contestation_indemnisation,650,0,10,non,oui,1,3
80,202501158,334,2025-12-11,visite,declaration_sinistre,224,1,7,non,oui,3,5
81,202600497,3383,2026-04-02,telephone,demande_avancement,500,2,25,oui,non,3,2
82,202500055,1093,2026-04-07,telephone,reclamation_delai,797,0,9,non,non,1,5
83,202600100,58,2026-03-06,telephone,demande_avancement,384,2,7,non,oui,1,0
84,202600040,3344,2026-03-26,visite,expertise,190,3,9,oui,oui,3,3
85,202500305,4719,2026-02-15,mail,reclamation_delai,826,0,8,non,oui,1,3
86,202501235,102,2025-12-16,mail,relance_dossier,374,3,6,non,oui,1,3
87,202500822,1752,2026-01-28,telephone,relance_dossier,365,0,9,oui,non,4,3
88,202500566,4655,2025-10-09,telephone,piece_manquante,9,0,30,non,oui,3,3
89,202501131,1755,2026-03-30,mail,expertise,602,3,15,oui,oui,1,5
90,202601501,3789,2026-03-25,visite,demande_avancement,737,1,10,oui,non,3,5
91,202600025,491,2026-04-17,mail,declaration_sinistre,807,1,7,oui,non,3,0
92,202601294,644,2026-03-17,visite,relance_dossier,157,3,7,oui,oui,3,3
93,202500010,1565,2026-03-31,telephone,piece_manquante,40,0,4,oui,non,5,0
94,202500442,2961,2026-03-20,mail,relance_dossier,228,1,6,oui,non,5,4
95,202500074,223,2026-01-27,visite,piece_manquante,501,3,7,oui,oui,2,2
96,202500226,3905,2025-11-06,telephone,contestation_indemnisation,783,1,8,non,non,1,3
97,202501032,361,2025-06-17,telephone,piece_manquante,886,2,8,oui,oui,1,0
98,202600604,3818,2026-04-09,mail,declaration_sinistre,733,3,15,non,non,1,0
99,202501757,4121,2026-04-16,visite,relance_dossier,869,1,8,oui,non,3,0
100,202501662,2847,2026-01-16,visite,demande_avancement,705,3,10,non,oui,1,0
101,202600450,1525,2026-04-21,telephone,piece_manquante,173,2,5,oui,oui,3,1
102,202501170,4088,2025-07-23,telephone,relance_dossier,899,2,3,non,oui,1,4
103,202501200,3578,2025-11-08,telephone,demande_avancement,856,0,3,oui,non,3,0
104,202501944,4211,2026-03-19,telephone,relance_dossier,736,1,8,oui,oui,2,2
105,202601168,3203,2026-04-03,visite,piece_manquante,601,1,8,non,non,2,2
106,202500594,2668,2026-04-02,mail,demande_avancement,36,2,9,non,oui,2,5
107,202600768,1553,2026-03-31,telephone,relance_dossier,153,0,9,oui,non,5,1
108,202501641,1021,2026-02-26,telephone,relance_dossier,330,0,6,non,oui,2,5
109,202501995,3009,2026-02-22,mail,demande_avancement,481,1,3,non,non,3,5
110,202500182,2753,2025-11-19,telephone,declaration_sinistre,713,0,6,oui,non,3,0
111,202400722,3156,2025-06-22,telephone,contestation_indemnisation,222,1,9,non,non,3,1
112,202601525,3152,2026-04-13,telephone,piece_manquante,124,0,4,non,non,4,2
113,202500177,1447,2026-03-02,telephone,piece_manquante,831,1,8,non,non,2,0
114,202600467,4091,2026-04-09,mail,expertise,747,2,7,oui,non,2,1
115,202600937,4411,2026-03-28,telephone,declaration_sinistre,893,1,7,non,oui,1,4
116,202600937,4411,2026-03-15,telephone,reclamation_delai,810,2,15,oui,oui,1,1
117,202500254,3106,2025-11-23,telephone,declaration_sinistre,157,2,5,oui,oui,3,2
118,202600454,2974,2026-04-06,telephone,reclamation_delai,501,2,8,non,oui,1,0
119,202600975,573,2026-03-27,visite,declaration_sinistre,639,2,15,oui,oui,1,4
120,201300599,4902,2014-03-30,telephone,contestation_indemnisation,900,0,9,oui,non,2,2
121,202600322,2755,2026-03-09,mail,relance_dossier,423,2,8,non,oui,1,4
122,202601351,1491,2026-03-11,mail,relance_dossier,103,1,9,non,non,4,1
123,202500492,4237,2026-01-08,visite,expertise,336,1,8,oui,non,4,1
124,202500952,3169,2026-04-01,telephone,declaration_sinistre,744,3,4,oui,non,2,2
125,202500290,4387,2026-03-11,telephone,demande_avancement,317,1,9,oui,non,4,2
126,202500277,2839,2025-08-23,telephone,declaration_sinistre,3,3,20,oui,non,4,2
127,202500168,1702,2026-04-14,telephone,expertise,144,0,9,oui,non,5,3
128,202601550,1564,2026-03-09,visite,reclamation_delai,787,2,6,oui,non,1,3
129,202600473,1654,2026-03-25,mail,contestation_indemnisation,792,3,7,non,oui,1,4
130,202500177,1447,2025-11-23,mail,reclamation_delai,116,3,6,oui,oui,2,4
131,202500137,1674,2025-10-30,mail,reclamation_delai,589,2,20,oui,non,2,1
132,202500011,2799,2026-02-16,mail,relance_dossier,780,2,3,oui,non,2,5
133,202601465,702,2026-03-23,mail,declaration_sinistre,312,2,10,non,oui,1,5
134,202601718,4972,2026-04-17,visite,piece_manquante,880,1,7,non,non,2,2
135,202600022,4059,2026-04-11,visite,relance_dossier,99,3,4,oui,non,4,3
136,202501449,1095,2026-02-20,mail,piece_manquante,668,0,7,oui,non,3,3
137,202601115,1598,2026-04-15,visite,declaration_sinistre,802,0,7,oui,non,3,2
138,202500381,1644,2025-09-25,telephone,piece_manquante,108,3,6,oui,non,4,4
139,202501494,3203,2025-11-07,mail,demande_avancement,483,3,9,oui,non,3,0
140,202601465,702,2026-03-26,mail,contestation_indemnisation,896,0,6,oui,oui,1,5
141,202501176,3996,2026-01-10,telephone,demande_avancement,359,0,4,oui,non,4,3
142,202501769,4645,2026-01-03,telephone,declaration_sinistre,418,2,6,non,oui,1,5
143,202500990,1982,2026-03-11,mail,contestation_indemnisation,812,2,9,oui,non,1,1
144,202601709,4370,2026-03-29,telephone,demande_avancement,115,3,4,non,oui,2,0
145,202600374,1614,2026-03-22,mail,piece_manquante,27,3,8,non,oui,2,3
146,202500622,4781,2026-02-09,mail,declaration_sinistre,351,0,7,oui,non,4,0
147,202600608,767,2026-04-20,telephone,demande_avancement,550,1,7,oui,non,4,5
148,202601610,1595,2026-04-14,mail,demande_avancement,419,0,5,non,non,3,4
149,202601929,727,2026-04-17,telephone,relance_dossier,693,3,10,oui,non,2,3
150,202501018,108,2025-12-10,telephone,declaration_sinistre,92,1,8,oui,non,5,2
151,202501164,4417,2025-12-07,telephone,piece_manquante,384,2,7,oui,oui,2,2
152,202601890,1259,2026-03-20,visite,reclamation_delai,7,1,5,non,oui,2,0
153,202601816,4162,2026-04-11,mail,demande_avancement,798,0,9,non,non,2,5
154,202600829,221,2026-03-14,telephone,demande_avancement,131,1,20,oui,non,5,1
155,202501353,2192,2026-03-02,telephone,relance_dossier,413,1,9,oui,non,4,1
156,202500104,3017,2025-09-04,telephone,declaration_sinistre,98,2,9,oui,oui,3,3
157,202600377,2614,2026-03-09,mail,demande_avancement,521,3,7,oui,non,3,3
158,202501662,2847,2026-03-18,mail,reclamation_delai,755,0,5,non,oui,1,1
159,202601838,2309,2026-04-21,telephone,declaration_sinistre,678,2,7,non,oui,1,2
160,202601103,1263,2026-04-08,telephone,demande_avancement,90,2,8,oui,oui,3,3
161,202500873,4847,2025-10-19,telephone,relance_dossier,889,3,15,non,oui,1,2
162,202601838,2309,2026-04-20,telephone,relance_dossier,310,3,9,non,oui,1,2
163,202601602,1297,2026-01-23,telephone,demande_avancement,208,1,8,oui,non,5,3
164,202601145,3129,2026-03-29,mail,demande_avancement,326,3,10,oui,non,3,0
165,202601657,1206,2026-03-20,telephone,demande_avancement,317,0,8,non,non,3,5
166,202501625,262,2025-11-02,mail,relance_dossier,637,1,4,non,oui,1,4
167,202501276,2581,2025-11-14,telephone,demande_avancement,182,0,9,oui,non,5,4
168,202500902,4563,2026-01-31,telephone,demande_avancement,242,2,3,oui,oui,3,1
169,202000825,1359,2020-11-30,visite,demande_avancement,133,3,7,non,oui,2,3
170,202500557,4116,2025-11-30,mail,expertise,285,0,9,oui,non,5,2
171,202500182,2753,2026-03-19,visite,relance_dossier,273,3,4,oui,non,4,3
172,202600054,370,2026-04-06,telephone,reclamation_delai,740,3,2,oui,non,1,1
173,202501815,2252,2025-10-27,telephone,demande_avancement,810,0,10,non,oui,1,0
174,202601424,2258,2026-04-18,telephone,demande_avancement,99,2,9,oui,non,4,3
175,202600507,4004,2026-04-08,telephone,expertise,535,3,20,oui,oui,2,5
176,202601771,4945,2026-03-11,visite,declaration_sinistre,616,3,6,oui,non,2,0
177,202601123,959,2026-04-05,telephone,expertise,658,0,8,non,oui,1,3
178,202501164,4417,2026-03-17,mail,demande_avancement,898,3,15,non,non,1,5
179,202500384,864,2026-04-04,visite,demande_avancement,17,3,9,oui,non,4,4
180,202600604,3818,2026-04-11,mail,contestation_indemnisation,609,2,5,non,oui,1,2
181,202500488,680,2026-04-14,telephone,relance_dossier,745,1,7,non,oui,1,2
182,202601893,354,2026-02-14,visite,relance_dossier,111,0,9,non,non,4,4
183,202501842,2508,2026-03-25,telephone,demande_avancement,603,2,9,non,oui,1,2
184,202600354,1280,2026-04-21,mail,relance_dossier,722,0,9,non,oui,1,2
185,202500192,4101,2026-02-27,mail,expertise,438,0,7,non,oui,2,2
186,202500462,517,2026-01-27,mail,demande_avancement,717,3,7,oui,oui,1,5
187,202600913,3340,2026-03-30,mail,relance_dossier,124,3,7,non,oui,2,2
188,202401180,28,2025-02-28,visite,piece_manquante,743,0,6,oui,non,3,3
189,202500370,3646,2025-06-04,telephone,demande_avancement,708,1,4,oui,non,3,4
190,202501282,921,2026-04-04,telephone,declaration_sinistre,482,3,15,non,oui,1,3
191,202500272,4741,2026-03-08,mail,contestation_indemnisation,367,3,4,oui,oui,1,3
192,202500617,4997,2025-11-22,telephone,relance_dossier,864,1,20,non,oui,1,0
193,202500631,1123,2025-12-10,telephone,demande_avancement,551,2,5,oui,non,3,0
194,202501746,978,2025-09-18,mail,contestation_indemnisation,523,0,10,oui,non,3,0
195,202501794,2623,2026-02-08,mail,demande_avancement,343,1,6,oui,non,4,0
196,202600170,4349,2026-04-07,telephone,reclamation_delai,557,2,6,oui,non,2,1
197,202600136,488,2026-04-15,mail,piece_manquante,528,1,8,oui,oui,3,2
198,202501541,224,2025-10-28,telephone,reclamation_delai,739,1,9,oui,non,2,4
199,202501641,1021,2026-01-05,telephone,contestation_indemnisation,246,1,5,oui,non,4,4
200,202500675,2104,2025-11-30,telephone,relance_dossier,320,0,2,oui,non,4,4
201,202501305,153,2025-10-11,telephone,relance_dossier,631,1,10,oui,non,3,2
202,202500070,2332,2026-04-05,telephone,relance_dossier,142,2,10,oui,oui,3,1
203,202301278,1650,2024-01-28,telephone,demande_avancement,316,1,8,oui,non,4,4
204,202601780,829,2026-04-01,telephone,relance_dossier,710,1,15,oui,oui,2,0
205,202601937,491,2026-04-07,telephone,declaration_sinistre,111,3,8,oui,non,4,4
206,202500835,4115,2025-11-25,telephone,demande_avancement,513,2,4,oui,non,3,2
207,202601882,2008,2026-04-03,mail,declaration_sinistre,623,0,20,oui,non,3,5
208,202500902,4563,2026-01-23,visite,reclamation_delai,219,0,9,oui,non,4,4
209,202601471,2490,2026-04-17,visite,demande_avancement,710,2,7,oui,oui,1,5
210,202501276,2581,2025-09-28,telephone,declaration_sinistre,341,0,4,oui,non,4,4
211,202501245,1842,2025-12-10,mail,contestation_indemnisation,211,2,4,oui,oui,2,0
212,202501090,570,2025-12-12,telephone,relance_dossier,158,2,3,non,non,3,2
213,202500168,1702,2026-01-04,telephone,contestation_indemnisation,675,2,5,oui,oui,1,3
214,202500067,2745,2025-12-11,mail,declaration_sinistre,241,1,7,oui,non,5,5
215,202500387,887,2026-04-21,telephone,piece_manquante,771,2,4,oui,oui,1,1
216,202500029,1908,2026-03-04,visite,relance_dossier,589,2,2,non,oui,1,4
217,202600360,1051,2026-03-31,mail,contestation_indemnisation,387,1,7,non,non,2,2
218,202500640,2734,2025-12-27,visite,reclamation_delai,687,0,20,non,non,1,2
219,202501269,4067,2026-02-28,visite,demande_avancement,649,2,7,oui,non,2,3
220,202600934,2933,2026-04-09,telephone,piece_manquante,545,0,5,oui,non,4,2
221,202500739,2687,2025-11-04,telephone,contestation_indemnisation,759,3,8,non,oui,1,3
222,202500387,887,2026-04-16,telephone,relance_dossier,732,2,9,non,oui,1,5
223,202500343,1406,2025-09-10,telephone,relance_dossier,496,3,7,non,oui,1,5
224,202600485,3014,2026-02-06,telephone,demande_avancement,668,3,5,non,non,1,2
225,202501170,4088,2025-10-14,telephone,contestation_indemnisation,893,1,15,non,non,1,2
226,202500579,2421,2026-03-14,visite,demande_avancement,740,3,3,oui,non,2,3
227,202500387,887,2025-11-25,mail,relance_dossier,430,2,8,oui,non,3,3
228,202601561,2383,2026-03-19,telephone,demande_avancement,51,0,6,non,non,4,2
229,202501021,1972,2025-11-14,mail,relance_dossier,387,1,9,non,non,3,1
230,202501040,1190,2026-02-06,telephone,contestation_indemnisation,285,2,4,oui,non,3,3
231,202600156,1455,2026-02-04,telephone,piece_manquante,799,1,6,oui,non,3,5
232,202501733,4435,2026-02-09,telephone,reclamation_delai,304,1,9,non,oui,1,3
233,202601066,3333,2026-03-12,telephone,demande_avancement,480,3,7,non,oui,1,4
234,202600197,1709,2026-03-28,telephone,demande_avancement,675,1,10,non,non,2,5
235,202601036,3616,2026-03-25,telephone,relance_dossier,649,3,3,oui,non,2,2
236,202500500,3181,2025-11-04,mail,relance_dossier,21,3,7,oui,oui,3,1
237,202500290,4387,2026-02-03,telephone,reclamation_delai,790,3,8,oui,oui,1,1
238,202500372,2659,2026-04-01,mail,piece_manquante,866,2,9,oui,oui,1,5
239,202501047,4548,2025-09-15,telephone,relance_dossier,749,0,4,oui,non,3,1
240,202500654,2766,2025-12-26,mail,declaration_sinistre,317,3,5,non,oui,1,3
241,202601004,417,2026-04-10,telephone,relance_dossier,789,1,6,oui,non,3,2
242,202500154,2299,2025-08-18,telephone,relance_dossier,501,3,25,oui,oui,2,0
243,202600377,2614,2026-03-22,mail,demande_avancement,775,1,5,non,non,2,2
244,202500649,2866,2025-07-11,telephone,incomprehension_garantie,146,2,6,non,oui,1,0
245,202500970,4794,2026-02-25,mail,contestation_indemnisation,238,2,20,non,oui,1,0
246,202501977,259,2025-10-10,mail,declaration_sinistre,263,0,3,oui,non,5,4
247,202501878,3651,2026-03-06,telephone,relance_dossier,99,1,3,non,non,4,2
248,202601738,1257,2026-04-17,visite,demande_avancement,587,2,7,oui,non,3,0
249,202600114,4431,2026-03-19,mail,demande_avancement,573,1,7,non,oui,2,2
250,202501995,3009,2025-12-04,mail,relance_dossier,147,2,3,oui,non,4,0
251,202500634,1547,2025-08-07,mail,relance_dossier,300,2,6,non,oui,2,0
252,202601130,3823,2026-04-20,visite,relance_dossier,764,1,7,oui,non,3,3
253,202500365,4011,2025-06-15,telephone,relance_dossier,333,2,4,oui,non,3,2
254,202601412,4148,2026-04-14,telephone,contestation_indemnisation,417,3,6,non,non,1,4
255,202500797,3800,2026-03-13,telephone,expertise,790,1,8,oui,non,3,4
256,202601989,4066,2026-04-12,telephone,piece_manquante,308,2,15,oui,oui,2,2
257,202600053,2298,2026-02-16,telephone,piece_manquante,768,0,6,oui,non,3,3
258,202601651,4760,2026-03-20,telephone,expertise,27,1,6,oui,non,5,2
259,202501746,978,2026-04-07,telephone,relance_dossier,337,3,5,oui,oui,2,4
260,202500844,2619,2025-11-18,mail,demande_avancement,198,3,5,non,non,3,1
261,202601456,1352,2026-03-09,telephone,declaration_sinistre,79,1,3,oui,non,5,5
262,202600882,3379,2026-04-02,mail,expertise,178,2,6,oui,non,4,2
263,202600114,4431,2026-04-12,telephone,relance_dossier,280,1,9,oui,oui,4,5
264,202501350,4349,2025-12-30,telephone,piece_manquante,872,2,5,oui,oui,1,5
265,202601954,1322,2026-03-08,telephone,demande_avancement,289,2,15,non,non,3,4
266,202501364,2973,2026-04-02,telephone,piece_manquante,354,3,7,non,oui,1,2
267,202501362,3977,2026-03-24,telephone,declaration_sinistre,881,0,30,oui,non,3,5
268,202501779,2443,2026-01-26,mail,contestation_indemnisation,707,1,6,oui,non,2,3
269,202601115,1598,2026-04-12,telephone,demande_avancement,665,2,5,oui,non,2,4
270,202601404,224,2026-04-04,mail,piece_manquante,639,0,5,non,non,2,2
271,202501454,3852,2025-08-12,telephone,reclamation_delai,889,3,5,oui,oui,1,1
272,202601593,3355,2026-04-19,mail,relance_dossier,853,3,6,oui,non,2,1
273,202600497,3383,2026-03-03,mail,declaration_sinistre,136,2,25,non,oui,2,3
274,202501879,3801,2025-10-17,mail,expertise,221,1,7,oui,non,5,3
275,202601709,4370,2026-04-18,telephone,declaration_sinistre,36,0,25,non,non,4,4
276,202501094,3077,2025-10-07,telephone,demande_avancement,36,0,2,oui,non,5,0
277,202601912,2846,2026-04-14,telephone,demande_avancement,407,1,7,oui,non,4,2
278,202601954,1322,2026-03-22,telephone,demande_avancement,325,3,8,oui,non,3,3
279,202500106,1355,2025-08-13,telephone,demande_avancement,53,3,6,oui,oui,3,2
280,202001892,2375,2020-10-25,telephone,declaration_sinistre,628,1,10,oui,non,3,5
281,202601334,820,2026-04-16,telephone,declaration_sinistre,636,0,6,non,oui,1,5
282,202500804,2583,2026-03-11,telephone,demande_avancement,46,0,8,oui,non,5,4
283,202501748,2942,2025-12-17,telephone,incomprehension_garantie,661,3,8,non,oui,1,5
284,202600485,3014,2026-03-09,telephone,expertise,756,3,5,non,non,1,5
285,202501309,2826,2026-02-22,telephone,declaration_sinistre,493,1,6,non,non,3,4
286,202500574,393,2025-10-13,mail,relance_dossier,120,1,7,oui,non,5,0
287,202501769,4645,2026-02-03,telephone,demande_avancement,826,2,7,non,oui,1,5
288,202600134,4286,2026-04-18,telephone,declaration_sinistre,117,3,6,oui,non,4,4
289,202500488,680,2025-12-13,telephone,demande_avancement,139,1,7,non,oui,3,5
290,202501638,4519,2026-02-17,telephone,relance_dossier,888,2,15,oui,oui,1,1
291,202600913,3340,2026-04-08,telephone,piece_manquante,723,2,25,oui,non,2,0
292,202500294,608,2026-01-02,mail,declaration_sinistre,882,0,5,non,oui,1,3
293,202500462,517,2026-03-27,telephone,relance_dossier,40,3,9,oui,non,4,4
294,202501972,3225,2025-08-29,telephone,expertise,839,0,4,non,oui,1,5
295,202600115,4214,2026-04-13,telephone,demande_avancement,543,2,7,non,oui,1,4
296,202500384,864,2026-03-04,telephone,demande_avancement,389,2,6,oui,non,3,4
297,202501297,2403,2026-03-26,telephone,incomprehension_garantie,282,1,9,oui,non,4,0
298,202600857,2459,2026-02-07,telephone,contestation_indemnisation,121,2,9,oui,non,3,0
299,202601169,3723,2026-02-16,telephone,demande_avancement,599,0,9,non,oui,2,1
300,202600115,4214,2026-03-26,telephone,contestation_indemnisation,261,3,9,oui,non,3,5
301,202501053,67,2025-08-12,mail,expertise,374,2,7,non,oui,1,4
302,202500844,2619,2026-03-18,visite,declaration_sinistre,631,1,25,oui,non,3,5
303,202500010,1565,2026-03-27,visite,reclamation_delai,106,1,9,non,non,3,1
304,202601709,4370,2026-03-23,mail,demande_avancement,130,3,25,oui,non,4,2
305,202601319,3142,2026-02-26,telephone,piece_manquante,594,1,6,non,oui,2,5
306,202601870,4716,2026-04-21,telephone,reclamation_delai,426,1,6,oui,non,3,3
307,202600855,3133,2026-02-11,telephone,demande_avancement,799,1,7,oui,non,3,4
308,202600604,3818,2026-03-12,telephone,demande_avancement,453,3,4,oui,non,3,4
309,202600995,1092,2026-03-08,visite,demande_avancement,770,1,6,oui,oui,2,1
310,202600510,1297,2026-03-03,mail,piece_manquante,826,3,7,non,oui,1,5
311,202600947,849,2026-04-15,telephone,reclamation_delai,452,3,15,oui,non,2,4
312,202200349,1924,2022-12-25,telephone,declaration_sinistre,360,3,5,non,oui,1,1
313,202500044,2603,2025-12-22,telephone,relance_dossier,318,3,7,oui,non,3,0
314,202501439,801,2025-12-16,telephone,incomprehension_garantie,219,0,7,non,oui,2,1
315,202600507,4004,2026-04-08,visite,relance_dossier,759,2,5,oui,oui,1,1
316,202600017,4539,2026-04-21,telephone,incomprehension_garantie,250,0,6,non,oui,2,0
317,202500891,2070,2026-01-26,telephone,expertise,142,0,6,non,oui,3,4
318,202500184,3496,2026-01-14,telephone,relance_dossier,260,1,4,oui,non,5,2
319,202600363,1610,2026-03-28,telephone,demande_avancement,875,1,10,oui,non,3,5
320,202600768,1553,2026-02-20,mail,piece_manquante,728,1,5,non,non,2,4
321,202600170,4349,2026-04-04,mail,declaration_sinistre,226,0,6,oui,non,5,1
322,202600197,1709,2026-04-19,mail,demande_avancement,618,3,3,non,oui,1,5
323,202500970,4794,2026-01-30,visite,expertise,229,2,15,non,oui,2,5
324,202500631,1123,2026-01-02,telephone,demande_avancement,721,0,10,non,oui,1,4
325,202501800,4554,2025-09-02,mail,relance_dossier,443,3,6,oui,oui,2,0
326,202501013,1897,2025-11-02,telephone,reclamation_delai,597,3,7,oui,oui,1,4
327,202601570,1386,2026-04-13,mail,demande_avancement,719,3,7,non,oui,1,4
328,202500110,981,2026-01-24,telephone,relance_dossier,758,2,20,oui,non,2,5
329,202500390,2877,2026-03-19,mail,declaration_sinistre,659,3,4,non,oui,1,5
330,202501542,1233,2026-03-09,mail,demande_avancement,627,2,8,non,non,1,5
