sinistre_id,client_id,date_ouverture,type_sinistre,statut_dossier,montant_estime,date_derniere_action
202500034,67,2025-05-02,auto,en cours,8704.12,2025-11-24
202400035,1028,2024-03-25,habitation,clos,3631.79,2025-04-05
202500036,2511,2025-11-20,habitation,en cours,13508.19,2026-01-16
202500037,4937,2025-11-18,habitation,en cours,11573.34,2025-12-11
202000038,1693,2020-12-20,auto,clos,11777.03,2021-11-10
202300039,2338,2023-07-01,auto,clos,480.89,2023-08-27
202200040,3344,2022-07-02,habitation,clos,12404.8,2026-04-09
202200041,4468,2022-01-07,auto,clos,2727.57,2023-10-23
202600042,4900,2026-02-06,habitation,en cours,13424.12,2026-03-19
202400043,97,2024-01-14,habitation,clos,7882.19,2025-09-06
202200044,2603,2022-09-05,habitation,clos,9595.88,2024-08-06
202500045,1393,2025-11-06,habitation,ouvert,628.29,2026-01-14
201800046,333,2018-07-15,habitation,clos,10325.27,2025-02-06
202300047,2184,2023-06-24,habitation,clos,3350.68,2023-10-25
202300048,3535,2023-09-23,auto,clos,1158.09,2026-02-07
202000049,3956,2020-08-01,habitation,clos,5953.57,2022-11-06
201600050,3843,2016-04-20,habitation,clos,2377.96,2018-06-03
202400051,3466,2024-03-24,habitation,clos,5273.82,2026-02-09
202500052,3201,2025-07-25,habitation,en cours,1995.79,2025-12-22
201500053,2298,2015-02-25,habitation,clos,13467.31,2019-06-02
202600054,370,2026-02-03,habitation,en cours,14935.25,2026-03-03
202500055,1093,2025-10-21,auto,en cours,2504.69,2026-02-14
202600056,2696,2026-04-10,habitation,en cours,9613.29,2026-04-11
201900057,808,2019-12-19,habitation,clos,2691.37,2021-06-24
202100058,4193,2021-11-26,auto,clos,4897.98,2024-04-25
202300059,66,2023-06-16,habitation,clos,12383.89,2025-08-02
202300060,4269,2023-08-12,habitation,clos,4759.05,2025-04-05
202300061,4826,2023-09-27,auto,clos,4114.26,2024-05-14
202500062,1197,2025-04-28,habitation,en cours,12103.54,2026-01-03
201700063,1208,2017-08-07,habitation,clos,8379.55,2021-03-13
202600064,2271,2026-02-28,auto,en cours,9222.3,2026-03-05
202400065,304,2024-04-01,habitation,clos,3953.46,2026-03-23
202500066,3400,2025-11-23,auto,en cours,10789.18,2026-03-17
202500067,2745,2025-09-01,habitation,en cours,326.6,2025-09-29
201900068,4388,2019-05-08,auto,clos,2366.59,2019-09-14
201900069,3122,2019-02-02,habitation,clos,14332.98,2023-11-20
202400070,2332,2024-12-24,auto,clos,14048.05,2025-05-11
202500071,52,2025-12-06,auto,en cours,6233.19,2026-03-08
202500072,827,2025-05-19,auto,en cours,14020.72,2025-07-13
202200073,648,2022-06-27,auto,clos,13982.76,2025-11-05
202500074,223,2025-03-01,habitation,clos,11952.66,2026-02-11
202600075,52,2026-02-12,auto,en cours,5855.53,2026-04-17
202300076,3471,2023-07-09,habitation,clos,2650.12,2025-03-21
202600077,3178,2026-04-02,habitation,en cours,14863.62,2026-04-05
201600078,2680,2016-02-23,habitation,clos,1064.86,2019-01-06
202500079,2701,2025-07-10,auto,en cours,3570.47,2025-10-01
202600080,4940,2026-03-11,auto,en cours,11009.79,2026-04-09
201400081,2039,2014-03-06,habitation,clos,8335.21,2019-08-07
202100082,1134,2021-09-25,auto,clos,8916.26,2025-02-01
202500083,4995,2025-06-06,auto,ouvert,7806.24,2026-04-11
201700084,3798,2017-03-22,auto,clos,13994.79,2024-03-05
201900085,2119,2019-10-15,habitation,clos,1149.09,2026-04-18
201900086,748,2019-04-11,habitation,clos,8759.87,2020-02-16
202200087,395,2022-06-08,habitation,clos,5824.91,2023-01-06
202400088,4860,2024-09-28,habitation,clos,10330.09,2024-10-06
202100089,4213,2021-06-23,habitation,clos,14551.71,2023-09-12
202400090,3127,2024-07-11,habitation,clos,10587.32,2025-10-08
202600091,851,2026-01-25,habitation,ouvert,8718.91,2026-02-16
202600092,1962,2026-04-06,auto,en cours,6645.47,2026-04-07
201500093,4339,2015-12-17,habitation,clos,11977.45,2025-10-05
202300094,4222,2023-02-18,auto,clos,775.68,2025-07-13
202300095,100,2023-04-30,auto,clos,7110.73,2024-03-02
202400096,2573,2024-11-20,auto,clos,3803.74,2024-11-22
202600097,112,2026-02-26,habitation,en cours,1118.97,2026-04-12
202300098,2524,2023-09-13,auto,clos,12626.91,2025-12-15
202400099,2833,2024-01-19,auto,clos,535.92,2025-02-19
202500100,58,2025-08-15,habitation,en cours,3431.53,2026-01-25
201900101,3634,2019-04-06,auto,clos,4533.93,2020-05-27
202300102,4496,2023-10-18,auto,clos,5463.85,2025-11-21
202500103,2183,2025-02-03,habitation,clos,898.63,2025-08-03
202200104,3017,2022-04-17,habitation,clos,6228.37,2024-12-20
202500105,1388,2025-11-11,auto,ouvert,6852.58,2025-11-19
202300106,1355,2023-04-19,habitation,clos,12331.51,2026-01-23
202500107,1583,2025-08-15,habitation,en cours,11555.58,2026-04-20
202300108,1662,2023-10-10,auto,clos,6994.91,2023-11-06
202400109,1779,2024-06-06,habitation,clos,12536.17,2025-09-16
202500110,981,2025-08-09,habitation,ouvert,7804.7,2025-11-27
201500111,2115,2015-04-11,auto,clos,14863.12,2023-01-16
201500112,3160,2015-12-30,habitation,clos,8365.48,2023-09-26
201900113,269,2019-01-05,auto,clos,5640.63,2024-06-18
202500114,4431,2025-09-26,auto,en cours,13189.46,2025-12-22
202400115,4214,2024-08-20,habitation,clos,6394.19,2025-03-30
202500116,2863,2025-05-18,auto,en cours,625.9,2026-02-19
202600117,1841,2026-02-22,habitation,en cours,2697.55,2026-02-27
202000118,3682,2020-10-16,habitation,clos,8271.41,2024-03-23
202600119,2311,2026-01-16,auto,en cours,12636.35,2026-04-04
202400120,2945,2024-08-06,auto,clos,8608.14,2025-03-01
202400121,4584,2024-05-07,auto,clos,10625.95,2024-12-07
202100122,3921,2021-10-21,habitation,clos,14077.53,2026-04-14
202500123,761,2025-08-30,auto,en cours,5268.59,2026-02-15
202500124,3564,2025-08-15,auto,ouvert,12499.98,2025-09-22
202400125,3119,2024-02-22,habitation,clos,7377.36,2025-10-22
201700126,1271,2017-04-26,habitation,clos,14605.83,2025-10-08
202500127,832,2025-11-16,auto,en cours,1836.74,2026-02-18
202200128,575,2022-03-21,auto,clos,12776.89,2024-07-31
202400129,3586,2024-04-27,habitation,clos,9017.23,2024-05-12
202200130,2864,2022-10-14,habitation,clos,14881.66,2025-11-12
202100131,3930,2021-09-06,auto,clos,13415.66,2024-05-14
202100132,2041,2021-09-12,habitation,clos,8399.88,2025-11-10
202500133,2881,2025-10-17,habitation,en cours,12214.64,2025-10-30
202200134,4286,2022-03-22,habitation,clos,14818.16,2023-01-12
202500135,2865,2025-02-07,habitation,clos,7365.74,2025-04-06
202500136,488,2025-10-09,habitation,en cours,9844.39,2025-12-16
202400137,1674,2024-03-14,habitation,clos,10004.16,2025-07-14
202400138,1325,2024-08-11,habitation,clos,10673.71,2025-03-26
202600139,2434,2026-03-31,habitation,en cours,742.6,2026-04-16
201800140,3713,2018-11-23,habitation,clos,14112.84,2025-11-27
201700141,1516,2017-10-27,auto,clos,4733.05,2024-06-19
202200142,74,2022-06-20,auto,clos,6223.15,2022-12-07
201500143,3639,2015-09-16,auto,clos,10231.77,2017-10-28
201800144,3140,2018-04-11,auto,clos,6371.08,2018-05-22
201800145,1149,2018-09-02,habitation,clos,4422.7,2024-05-18
202000146,4585,2020-02-13,auto,clos,1117.93,2022-11-24
201800147,2721,2018-08-20,auto,clos,9643.66,2020-10-02
202500148,3882,2025-01-09,habitation,clos,7917.78,2025-07-24
202400149,928,2024-04-24,auto,clos,11377.25,2025-06-20
202500150,1612,2025-12-31,auto,en cours,7494.24,2026-03-15
202600151,4319,2026-03-14,auto,en cours,4212.59,2026-04-02
202500152,2866,2025-01-21,habitation,clos,8171.35,2025-11-06
201300153,794,2013-12-14,auto,clos,9096.86,2023-09-23
202300154,2299,2023-11-30,auto,clos,12610.88,2026-01-05
202600155,3149,2026-01-26,habitation,en cours,9232.94,2026-03-08
201900156,1455,2019-05-27,habitation,clos,3869.36,2021-08-09
202400157,351,2024-10-10,auto,clos,12019.14,2025-06-12
202400158,1612,2024-07-21,auto,clos,2898.72,2024-10-21
202200159,4004,2022-10-25,auto,clos,12413.14,2023-06-22
202500160,1622,2025-03-27,auto,clos,2382.77,2025-10-05
201600161,1928,2016-03-16,auto,clos,2296.8,2018-12-06
202500162,180,2025-05-20,auto,en cours,9672.73,2026-02-03
202300163,3242,2023-09-16,habitation,clos,13492.32,2025-01-24
202200164,3223,2022-08-07,habitation,clos,5180.38,2025-07-02
202500165,4114,2025-12-28,auto,en cours,6006.61,2026-01-14
201900166,1408,2019-08-31,habitation,clos,3332.3,2021-07-14
201200167,3605,2012-09-16,habitation,clos,10214.1,2023-06-27
202500168,1702,2025-11-23,habitation,en cours,10859.16,2026-03-19
202400169,3897,2024-02-13,auto,clos,7464.26,2025-05-30
202000170,4349,2020-09-03,auto,clos,6740.77,2022-10-02
201500171,3959,2015-08-04,auto,clos,14299.34,2020-11-20
202100172,4264,2021-10-10,auto,clos,13471.84,2026-04-13
202500173,1503,2025-10-17,habitation,en cours,9109.7,2025-11-21
202300174,1575,2023-02-24,auto,clos,11706.57,2023-12-02
202100175,1307,2021-10-14,auto,clos,1188.5,2025-03-01
202500176,2863,2025-12-12,habitation,en cours,4230.37,2026-01-26
202300177,1447,2023-01-05,habitation,clos,3304.02,2024-03-20
202300178,110,2023-04-11,auto,clos,13619.19,2024-07-04
202200179,3245,2022-04-16,habitation,clos,2322.94,2022-09-20
202500180,2670,2025-10-16,habitation,en cours,9475.32,2026-01-26
202500181,1637,2025-07-15,auto,ouvert,1042.25,2026-03-25
202300182,2753,2023-12-06,habitation,clos,4295.27,2025-12-09
202400183,4234,2024-09-28,habitation,clos,10138.55,2025-05-31
202600184,3496,2026-03-26,habitation,ouvert,1785.57,2026-04-20
202600185,3163,2026-04-20,habitation,en cours,11483.01,2026-04-20
202400186,613,2024-11-14,habitation,clos,2577.58,2026-03-08
202600187,2323,2026-03-14,auto,en cours,6571.32,2026-03-16
202100188,3390,2021-01-06,habitation,clos,13926.16,2022-05-07
202600189,1427,2026-04-20,habitation,en cours,10466.77,2026-04-20
202600190,2963,2026-03-15,auto,ouvert,14278.12,2026-03-28
201900191,1096,2019-10-27,habitation,clos,1055.37,2022-09-16
202000192,4101,2020-03-27,auto,clos,6434.38,2020-12-27
201300193,2371,2013-05-17,auto,clos,3094.22,2022-06-18
202200194,407,2022-06-03,habitation,clos,8493.11,2024-11-05
202200195,3010,2022-04-14,auto,clos,7377.5,2022-05-31
201400196,3549,2014-09-16,habitation,clos,2140.4,2023-12-31
202500197,1709,2025-10-12,habitation,en cours,9691.59,2025-11-08
202500198,839,2025-09-12,habitation,en cours,12366.15,2025-10-23
201800199,1620,2018-07-17,habitation,clos,6613.2,2022-01-10
202400200,3487,2024-08-14,habitation,clos,3707.1,2025-01-07
202500201,154,2025-06-16,auto,en cours,12036.69,2025-10-10
201600202,2039,2016-08-06,auto,clos,13747.37,2018-03-10
202500203,3976,2025-08-13,habitation,ouvert,11018.09,2025-12-19
202500204,748,2025-09-21,habitation,ouvert,13956.31,2026-02-03
202500205,4700,2025-09-08,habitation,ouvert,9249.29,2026-04-19
202600206,4890,2026-04-10,auto,en cours,9912.23,2026-04-12
202600207,1005,2026-03-10,auto,en cours,13667.29,2026-03-10
202600208,2070,2026-02-18,auto,en cours,11488.88,2026-02-24
201800209,235,2018-08-21,auto,clos,12808.82,2025-11-02
202300210,3563,2023-01-22,auto,clos,11531.26,2025-04-20
202100211,4412,2021-07-29,habitation,clos,9109.7,2022-12-15
201600212,1893,2016-01-19,habitation,clos,5223.59,2025-05-24
202000213,1105,2020-05-07,habitation,clos,9686.07,2022-06-10
202500214,3279,2025-04-03,auto,clos,2721.98,2026-02-12
201900215,4254,2019-05-07,habitation,clos,9945.65,2021-01-30
201600216,2249,2016-07-28,habitation,clos,10693.72,2020-05-05
202600217,1824,2026-01-30,auto,en cours,8338.59,2026-02-18
202500218,4668,2025-10-13,habitation,en cours,11096.51,2026-03-26
202500219,1814,2025-07-16,auto,en cours,10594.71,2026-04-15
202500220,2613,2025-05-18,auto,en cours,668.83,2026-04-04
202300221,1969,2023-08-10,auto,clos,12409.73,2025-09-07
202500222,883,2025-04-28,auto,en cours,13546.79,2025-07-10
202500223,1266,2025-12-05,auto,en cours,1262.53,2026-04-04
202300224,1044,2023-12-29,habitation,clos,5002.79,2025-08-13
202500225,185,2025-01-16,auto,clos,123.72,2026-02-24
202100226,3905,2021-05-07,habitation,clos,3081.34,2025-05-30
202400227,2519,2024-12-09,habitation,clos,4588.47,2025-10-08
202600228,2011,2026-04-15,auto,en cours,7284.1,2026-04-17
202100229,150,2021-05-16,habitation,clos,11264.28,2025-02-18
202400230,3297,2024-07-30,auto,clos,426.95,2025-01-11
202300231,366,2023-11-16,auto,clos,193.73,2025-01-19
202400232,179,2024-03-31,auto,clos,12677.21,2025-05-19
202500233,1261,2025-05-03,habitation,en cours,13230.84,2025-08-26
202600234,4398,2026-04-01,auto,en cours,3019.73,2026-04-05
202200235,1985,2022-04-30,auto,clos,7345.07,2024-03-07
202200236,399,2022-12-03,auto,clos,13273.01,2024-02-25
202600237,3089,2026-04-09,habitation,en cours,3431.82,2026-04-19
202500238,431,2025-07-12,auto,en cours,11871.79,2025-07-20
202500239,4471,2025-02-22,auto,clos,2798.83,2025-10-10
202600240,1083,2026-02-25,auto,ouvert,9727.92,2026-03-26
202400241,1770,2024-06-06,auto,clos,3467.57,2024-11-30
202400242,4624,2024-07-14,auto,clos,5650.9,2024-11-30
202500243,4238,2025-11-08,habitation,en cours,6980.01,2025-12-30
201700244,3706,2017-02-15,auto,clos,1646.42,2024-01-19
201900245,2632,2019-01-07,auto,clos,879.75,2019-08-14
201700246,491,2017-12-03,auto,clos,10111.23,2023-05-20
202500247,2727,2025-10-17,habitation,en cours,9248.63,2025-10-28
202200248,2577,2022-09-25,habitation,clos,11754.87,2025-02-20
202500249,1918,2025-04-29,habitation,ouvert,8280.83,2025-09-18
202600250,2263,2026-04-05,auto,en cours,5748.52,2026-04-10
202500251,955,2025-08-21,auto,en cours,4161.22,2026-03-05
202600252,2277,2026-04-17,habitation,ouvert,766.41,2026-04-18
201900253,848,2019-05-28,auto,clos,14013.37,2023-02-20
202100254,3106,2021-04-26,habitation,clos,3707.4,2022-02-08
201900255,4911,2019-12-13,auto,clos,3373.46,2023-11-26
202500256,909,2025-11-10,habitation,en cours,368.37,2026-03-19
202000257,1329,2020-12-24,habitation,clos,10132.66,2024-12-10
202500258,2207,2025-11-11,habitation,ouvert,7460.06,2026-02-21
202500259,4453,2025-02-15,habitation,clos,8790.35,2026-02-02
202500260,3414,2025-10-28,habitation,en cours,11722.45,2025-11-08
201700261,4714,2017-04-25,habitation,clos,4907.94,2018-07-31
202400262,4253,2024-08-13,auto,clos,2104.41,2026-04-05
202400263,3500,2024-06-24,habitation,clos,4051.64,2025-02-15
201600264,3338,2016-06-06,habitation,clos,12177.3,2019-12-25
202600265,1119,2026-04-12,auto,en cours,3090.13,2026-04-13
201200266,1919,2012-10-07,auto,clos,4395.98,2016-08-17
202300267,802,2023-08-13,auto,clos,8244.32,2025-06-24
202500268,4498,2025-11-19,habitation,en cours,465.18,2026-03-29
202500269,1930,2025-01-26,auto,clos,2529.4,2025-07-22
201900270,2445,2019-12-08,habitation,clos,13635.96,2020-01-30
202500271,824,2025-02-15,auto,clos,6997.52,2025-09-14
202000272,4741,2020-09-07,auto,clos,8702.57,2021-08-24
202400273,1528,2024-12-31,auto,clos,615.4,2025-09-02
202200274,2538,2022-11-21,auto,clos,9463.9,2024-02-10
202300275,3443,2023-04-11,auto,clos,5500.96,2026-04-17
202000276,3254,2020-10-09,habitation,clos,2989.02,2023-11-15
202200277,2839,2022-11-27,habitation,clos,6723.46,2024-06-14
202400278,4629,2024-10-04,habitation,clos,4122.09,2025-05-05
202500279,4362,2025-11-16,auto,ouvert,6087.35,2026-03-29
202100280,2729,2021-08-04,habitation,clos,5658.56,2025-12-27
201800281,2080,2018-01-07,habitation,clos,2582.75,2025-04-22
202400282,504,2024-07-29,habitation,clos,358.02,2025-09-09
201600283,2462,2016-05-18,auto,clos,11799.42,2023-08-01
201500284,4190,2015-03-15,auto,clos,5271.16,2021-09-14
202500285,1167,2025-05-15,auto,en cours,4305.63,2025-08-03
202200286,2024,2022-03-29,auto,clos,8977.91,2026-01-23
202500287,772,2025-04-15,auto,clos,13934.96,2025-11-25
202500288,1946,2025-02-10,habitation,clos,5322.0,2026-01-06
202600289,751,2026-04-03,habitation,en cours,284.47,2026-04-05
202100290,4387,2021-07-28,habitation,clos,6560.76,2023-12-03
202300291,3285,2023-02-16,habitation,clos,6995.31,2024-05-24
202100292,228,2021-05-15,auto,clos,8600.38,2021-07-25
201100293,2503,2011-12-27,habitation,clos,2022.19,2023-04-24
201600294,608,2016-09-07,habitation,clos,13782.49,2022-12-22
201900295,310,2019-12-30,auto,clos,13310.11,2020-11-03
202400296,2989,2024-06-08,habitation,clos,4033.57,2024-09-07
201700297,107,2017-12-01,auto,clos,6477.73,2024-10-23
202200298,2130,2022-01-15,habitation,clos,6747.11,2022-11-26
202200299,298,2022-01-02,habitation,clos,9971.82,2023-11-05
202100300,1793,2021-10-07,habitation,clos,3517.25,2022-09-05
202400301,2580,2024-05-02,auto,clos,13571.46,2025-08-19
201900302,3778,2019-04-23,habitation,clos,4837.6,2020-02-13
201600303,4528,2016-08-20,habitation,clos,6513.66,2022-02-25
201300304,2898,2013-03-12,auto,clos,5000.28,2013-10-19
201800305,4719,2018-09-29,auto,clos,2503.68,2020-01-23
202400306,4386,2024-10-04,auto,clos,8445.37,2025-09-06
202600307,615,2026-03-22,habitation,en cours,11373.89,2026-04-14
201400308,3106,2014-09-04,habitation,clos,358.55,2023-09-23
201200309,4805,2012-04-18,habitation,clos,7792.97,2020-03-03
202100310,638,2021-11-12,habitation,clos,14366.76,2023-08-08
202000311,2302,2020-11-20,auto,clos,12385.81,2020-12-31
202300312,3460,2023-12-12,habitation,clos,8772.3,2024-07-16
202500313,2089,2025-02-08,auto,clos,12571.86,2025-04-22
202500314,4013,2025-03-21,habitation,clos,4157.05,2025-10-19
202200315,2568,2022-12-04,auto,clos,3375.54,2024-05-23
202500316,452,2025-09-10,habitation,en cours,14389.28,2025-10-12
202500317,237,2025-04-07,habitation,clos,3389.69,2025-12-22
201800318,1306,2018-02-12,auto,clos,10288.93,2021-09-13
202600319,4159,2026-04-19,habitation,en cours,9658.25,2026-04-19
202500320,151,2025-11-22,auto,en cours,9966.99,2026-04-07
202400321,4254,2024-10-24,habitation,clos,570.16,2026-02-24
201400322,2755,2014-05-30,auto,clos,3436.39,2025-11-04
202500323,4681,2025-04-02,habitation,clos,3776.95,2025-12-08
202200324,4418,2022-03-17,habitation,clos,4470.58,2025-03-02
202200325,3695,2022-01-13,habitation,clos,11739.23,2024-02-01
202600326,4871,2026-03-08,auto,en cours,14374.3,2026-03-14
202300327,2200,2023-06-21,auto,clos,698.1,2024-03-27
202600328,408,2026-01-11,auto,ouvert,12783.05,2026-01-13
202300329,2809,2023-08-27,auto,clos,3164.95,2025-06-16
202500330,226,2025-01-11,auto,clos,6738.84,2026-02-01
201400331,4951,2014-02-26,habitation,clos,11217.09,2020-08-02
202500332,1086,2025-12-10,auto,en cours,1015.71,2026-04-16
202500333,4138,2025-10-01,habitation,en cours,14534.95,2026-02-11
202400334,745,2024-10-20,auto,clos,1800.69,2026-02-03
202500335,3953,2025-01-11,habitation,clos,2684.49,2025-05-02
202200336,4709,2022-08-21,auto,clos,1787.73,2024-03-24
202500337,4443,2025-10-28,auto,ouvert,2723.24,2026-01-15
202400338,970,2024-09-19,habitation,clos,5455.89,2025-06-05
202300339,4045,2023-05-05,auto,clos,11890.27,2025-01-24
202400340,2700,2024-04-26,auto,clos,7354.98,2025-05-08
202500341,3364,2025-11-11,auto,ouvert,1122.53,2026-02-25
202100342,2248,2021-07-02,auto,clos,1656.85,2023-02-08
202300343,1406,2023-11-14,auto,clos,6587.29,2025-03-27
202500344,2840,2025-12-19,habitation,en cours,2205.72,2026-03-17
202400345,3030,2024-05-08,auto,clos,12577.38,2024-11-08
202300346,857,2023-08-06,habitation,clos,7255.57,2025-04-01
202400347,352,2024-02-24,auto,clos,3756.94,2025-09-20
201800348,1690,2018-11-19,habitation,clos,5168.52,2019-05-15
202500349,1924,2025-02-02,habitation,clos,13025.74,2026-01-26
202500350,370,2025-10-23,habitation,ouvert,11647.79,2026-03-28
202500351,2738,2025-11-19,habitation,ouvert,7891.96,2026-03-03
202500352,3678,2025-04-30,habitation,ouvert,4455.55,2025-08-20
201900353,4131,2019-08-03,auto,clos,6321.63,2023-03-21
202500354,1280,2025-06-05,habitation,ouvert,12951.88,2026-03-07
202600355,3253,2026-03-14,habitation,ouvert,1495.21,2026-04-07
202500356,4914,2025-03-16,auto,clos,5343.8,2025-07-28
202100357,771,2021-04-25,habitation,clos,3601.35,2023-11-06
202000358,3985,2020-04-16,habitation,clos,9805.41,2023-12-11
202600359,4863,2026-04-14,habitation,en cours,3128.05,2026-04-14
202400360,1051,2024-09-13,auto,clos,12296.74,2025-03-19
202300361,2137,2023-01-24,auto,clos,5535.54,2023-11-22
202400362,4395,2024-06-12,habitation,clos,2516.44,2025-06-23
202200363,1610,2022-02-22,habitation,clos,8390.35,2024-07-26
202600364,2074,2026-03-27,auto,en cours,4385.51,2026-04-07
202600365,4011,2026-02-07,auto,en cours,3402.85,2026-04-02
202600366,4007,2026-01-19,habitation,ouvert,2639.49,2026-04-13
202600367,1156,2026-04-06,habitation,ouvert,273.19,2026-04-11
202300368,3462,2023-12-18,habitation,clos,9468.75,2023-12-26
202500369,3236,2025-07-21,habitation,ouvert,6999.24,2026-03-04
202100370,3646,2021-09-28,auto,clos,8866.5,2025-09-07
202400371,654,2024-08-12,auto,clos,13413.67,2025-09-14
202500372,2659,2025-05-21,auto,en cours,8437.04,2026-03-08
202400373,4182,2024-09-21,auto,clos,4419.02,2024-11-02
201800374,1614,2018-11-30,auto,clos,13641.0,2021-08-16
201600375,2086,2016-07-16,auto,clos,8109.01,2017-06-27
202000376,1715,2020-12-12,habitation,clos,323.28,2024-12-02
202500377,2614,2025-11-25,habitation,en cours,9202.59,2026-04-13
202200378,2183,2022-07-28,habitation,clos,7627.17,2022-08-21
201800379,53,2018-04-28,habitation,clos,14571.57,2019-08-29
202600380,922,2026-03-31,habitation,en cours,14226.17,2026-03-31
202400381,1644,2024-08-29,auto,clos,9040.54,2025-12-07
202600382,4947,2026-03-11,auto,en cours,6673.26,2026-03-31
201800383,3664,2018-12-16,habitation,clos,9015.44,2023-03-01
202500384,864,2025-10-11,auto,en cours,2030.8,2026-03-31
202200385,3692,2022-01-14,auto,clos,13273.69,2024-08-11
201300386,674,2013-06-03,auto,clos,11224.18,2022-03-15
202400387,887,2024-08-20,habitation,clos,14486.35,2024-08-25
202400388,546,2024-12-29,auto,clos,12770.19,2025-12-15
202000389,2485,2020-07-16,auto,clos,3757.75,2024-09-08
202000390,2877,2020-02-09,auto,clos,3396.44,2021-03-29
202400391,563,2024-07-29,auto,clos,1262.87,2025-11-28
201900392,280,2019-06-10,habitation,clos,12636.44,2019-07-03
202500393,3504,2025-08-15,auto,ouvert,10680.49,2025-12-24
202300394,4750,2023-04-29,habitation,clos,10344.47,2025-07-26
202100395,3437,2021-11-23,auto,clos,6250.59,2025-11-21
202600396,2320,2026-02-20,habitation,en cours,12957.23,2026-03-13
201600397,566,2016-12-26,habitation,clos,2115.76,2019-05-30
202500398,2183,2025-01-28,auto,clos,7418.25,2025-02-06
202600399,2935,2026-02-17,habitation,en cours,1791.66,2026-03-03
201600400,3928,2016-10-22,auto,clos,9834.62,2021-08-14
202500401,733,2025-06-26,auto,en cours,6830.92,2025-07-18
202300402,4368,2023-10-14,auto,clos,8672.43,2026-03-14
201600403,2448,2016-11-26,habitation,clos,14194.36,2025-01-10
201800404,688,2018-04-19,habitation,clos,13803.97,2023-04-22
202200405,4367,2022-04-26,habitation,clos,1121.6,2026-03-23
202400406,1492,2024-01-03,habitation,clos,4351.76,2026-01-12
202400407,2595,2024-09-09,auto,clos,1149.44,2025-11-22
202200408,4583,2022-04-23,habitation,clos,2952.82,2022-11-29
202000409,1302,2020-10-28,habitation,clos,116.0,2023-08-20
202400410,2457,2024-02-28,auto,clos,13023.55,2025-10-27
202200411,2736,2022-05-26,habitation,clos,3001.63,2026-01-19
202300412,744,2023-09-17,habitation,clos,14687.25,2024-07-16
202300413,1379,2023-07-09,habitation,clos,8021.83,2023-08-04
201900414,1054,2019-11-30,auto,clos,4920.56,2020-06-07
202500415,3708,2025-06-23,auto,en cours,14407.42,2025-07-15
202300416,2050,2023-10-06,auto,clos,7775.85,2025-02-02
202100417,3529,2021-07-20,habitation,clos,11955.08,2022-09-29
202600418,2246,2026-02-03,habitation,ouvert,2285.55,2026-03-23
202100419,3895,2021-06-28,auto,clos,6239.29,2022-12-02
202300420,3518,2023-08-05,habitation,clos,2847.57,2025-12-02
202600421,4100,2026-03-08,auto,en cours,4745.16,2026-04-11
202400422,12,2024-12-03,habitation,clos,1289.1,2024-12-16
202200423,2336,2022-05-18,auto,clos,5550.24,2026-04-13
202600424,1115,2026-02-17,habitation,en cours,10285.42,2026-02-23
201100425,467,2011-10-07,habitation,clos,11247.69,2022-03-11
201700426,2974,2017-02-14,auto,clos,1380.58,2018-11-08
